kmer_start	kmer_end	n_enriched	n_depleted	group_JW	series_id	gene_start	gene_end	gene	group	kmer	region	series_id_2	series_id_3
5	19	1	0	enr_ex	5	0	0	intergenic	A	all	npc	2050	5
6	20	2	0	enr_ex	6	0	0	intergenic	A	all	npc	2051	5
7	21	3	0	enr_ex	7	0	0	intergenic	A	all	npc	2052	5
8	22	4	0	enr_ex	8	0	0	intergenic	A	all	npc	2053	5
9	23	5	0	enr_ex	9	0	0	intergenic	A	all	npc	2054	5
10	24	6	0	enr_ex	10	0	0	intergenic	A	all	npc	2055	5
11	25	7	0	enr_ex	11	0	0	intergenic	A	all	npc	2056	5
12	26	8	0	enr_ex	12	0	0	intergenic	A	all	npc	2057	5
13	27	9	0	enr_ex	13	0	0	intergenic	A	all	npc	2058	5
14	28	10	0	enr_ex	14	0	0	intergenic	A	all	npc	2059	5
15	29	11	0	enr_ex	15	0	0	intergenic	A	all	npc	2060	5
16	30	12	0	enr_ex	16	0	0	intergenic	A	all	npc	2061	5
17	31	13	0	enr_ex	17	0	0	intergenic	A	all	npc	2062	5
18	32	13	0	enr_ex	18	0	0	intergenic	A	all	npc	2063	5
19	33	13	0	enr_ex	19	0	0	intergenic	A	all	npc	2064	5
20	34	12	0	enr_ex	20	0	0	intergenic	A	all	npc	2065	5
21	35	11	0	enr_ex	21	0	0	intergenic	A	all	npc	2066	5
22	36	10	0	enr_ex	22	0	0	intergenic	A	all	npc	2067	5
23	37	9	0	enr_ex	23	0	0	intergenic	A	all	npc	2068	5
24	38	8	0	enr_ex	24	0	0	intergenic	A	all	npc	2069	5
25	39	7	0	enr_ex	25	0	0	intergenic	A	all	npc	2070	5
26	40	6	0	enr_ex	26	0	0	intergenic	A	all	npc	2071	5
27	41	5	0	enr_ex	27	0	0	intergenic	A	all	npc	2072	5
28	42	4	0	enr_ex	28	0	0	intergenic	A	all	npc	2073	5
29	43	3	0	enr_ex	29	0	0	intergenic	A	all	npc	2074	5
30	44	2	0	enr_ex	30	0	0	intergenic	A	all	npc	2075	5
29804	29818	1	0	enr_ex	29804	0	0	intergenic	A	all	npc	2076	5
29805	29819	2	0	enr_ex	29805	0	0	intergenic	A	all	npc	2077	5
29806	29820	3	0	enr_ex	29806	0	0	intergenic	A	all	npc	2078	5
29807	29821	4	0	enr_ex	29807	0	0	intergenic	A	all	npc	2079	5
29808	29822	5	0	enr_ex	29808	0	0	intergenic	A	all	npc	2080	5
29809	29823	6	0	enr_ex	29809	0	0	intergenic	A	all	npc	2081	5
29810	29824	7	0	enr_ex	29810	0	0	intergenic	A	all	npc	2082	5
29811	29825	8	0	enr_ex	29811	0	0	intergenic	A	all	npc	2083	5
29812	29826	9	0	enr_ex	29812	0	0	intergenic	A	all	npc	2084	5
29813	29827	9	1	enr_pref	29813	0	0	intergenic	B	all	npc	2196	4
29814	29828	9	2	enr_pref	29814	0	0	intergenic	B	all	npc	2197	4
29815	29829	9	3	enr_pref	29815	0	0	intergenic	B	all	npc	2198	4
29816	29830	9	4	enr_pref	29816	0	0	intergenic	B	all	npc	2199	4
29817	29831	9	5	enr_pref	29817	0	0	intergenic	B	all	npc	2200	4
29818	29832	9	6	enr_pref	29818	0	0	intergenic	B	all	npc	2201	4
29819	29833	8	7	enr_pref	29819	0	0	intergenic	B	all	npc	2202	4
731	745	0	1	dep_ex	731	266	21555	ORF1ab	C	all	pc	1	3
732	746	0	2	dep_ex	732	266	21555	ORF1ab	C	all	pc	2	3
733	747	0	3	dep_ex	733	266	21555	ORF1ab	C	all	pc	3	3
734	748	0	3	dep_ex	734	266	21555	ORF1ab	C	all	pc	4	3
735	749	0	3	dep_ex	735	266	21555	ORF1ab	C	all	pc	5	3
736	750	0	3	dep_ex	736	266	21555	ORF1ab	C	all	pc	6	3
737	751	0	3	dep_ex	737	266	21555	ORF1ab	C	all	pc	7	3
738	752	0	3	dep_ex	738	266	21555	ORF1ab	C	all	pc	8	3
739	753	0	3	dep_ex	739	266	21555	ORF1ab	C	all	pc	9	3
740	754	0	3	dep_ex	740	266	21555	ORF1ab	C	all	pc	10	3
741	755	0	3	dep_ex	741	266	21555	ORF1ab	C	all	pc	11	3
742	756	0	3	dep_ex	742	266	21555	ORF1ab	C	all	pc	12	3
743	757	0	3	dep_ex	743	266	21555	ORF1ab	C	all	pc	13	3
744	758	0	3	dep_ex	744	266	21555	ORF1ab	C	all	pc	14	3
745	759	0	3	dep_ex	745	266	21555	ORF1ab	C	all	pc	15	3
746	760	0	2	dep_ex	746	266	21555	ORF1ab	C	all	pc	16	3
747	761	0	1	dep_ex	747	266	21555	ORF1ab	C	all	pc	17	3
1578	1592	0	1	dep_ex	1578	266	21555	ORF1ab	C	all	pc	18	3
1579	1593	0	2	dep_ex	1579	266	21555	ORF1ab	C	all	pc	19	3
1580	1594	0	3	dep_ex	1580	266	21555	ORF1ab	C	all	pc	20	3
1581	1595	0	4	dep_ex	1581	266	21555	ORF1ab	C	all	pc	21	3
1582	1596	0	5	dep_ex	1582	266	21555	ORF1ab	C	all	pc	22	3
1583	1597	0	6	dep_ex	1583	266	21555	ORF1ab	C	all	pc	23	3
1584	1598	0	7	dep_ex	1584	266	21555	ORF1ab	C	all	pc	24	3
1585	1599	0	8	dep_ex	1585	266	21555	ORF1ab	C	all	pc	25	3
1586	1600	0	9	dep_ex	1586	266	21555	ORF1ab	C	all	pc	26	3
1587	1601	0	10	dep_ex	1587	266	21555	ORF1ab	C	all	pc	27	3
1588	1602	0	11	dep_ex	1588	266	21555	ORF1ab	C	all	pc	28	3
1589	1603	0	12	dep_ex	1589	266	21555	ORF1ab	C	all	pc	29	3
1590	1604	0	13	dep_ex	1590	266	21555	ORF1ab	C	all	pc	30	3
1591	1605	0	14	dep_ex	1591	266	21555	ORF1ab	C	all	pc	31	3
1592	1606	0	15	dep_ex	1592	266	21555	ORF1ab	C	all	pc	32	3
1593	1607	0	14	dep_ex	1593	266	21555	ORF1ab	C	all	pc	33	3
1594	1608	0	13	dep_ex	1594	266	21555	ORF1ab	C	all	pc	34	3
1595	1609	0	12	dep_ex	1595	266	21555	ORF1ab	C	all	pc	35	3
1596	1610	0	11	dep_ex	1596	266	21555	ORF1ab	C	all	pc	36	3
1597	1611	0	10	dep_ex	1597	266	21555	ORF1ab	C	all	pc	37	3
1598	1612	0	9	dep_ex	1598	266	21555	ORF1ab	C	all	pc	38	3
1599	1613	0	8	dep_ex	1599	266	21555	ORF1ab	C	all	pc	39	3
1600	1614	0	7	dep_ex	1600	266	21555	ORF1ab	C	all	pc	40	3
1601	1615	0	6	dep_ex	1601	266	21555	ORF1ab	C	all	pc	41	3
1602	1616	0	5	dep_ex	1602	266	21555	ORF1ab	C	all	pc	42	3
1603	1617	0	4	dep_ex	1603	266	21555	ORF1ab	C	all	pc	43	3
1604	1618	0	3	dep_ex	1604	266	21555	ORF1ab	C	all	pc	44	3
1605	1619	0	2	dep_ex	1605	266	21555	ORF1ab	C	all	pc	45	3
1606	1620	0	1	dep_ex	1606	266	21555	ORF1ab	C	all	pc	46	3
3082	3096	0	1	dep_ex	3082	266	21555	ORF1ab	C	all	pc	47	3
3083	3097	0	2	dep_ex	3083	266	21555	ORF1ab	C	all	pc	48	3
3084	3098	0	3	dep_ex	3084	266	21555	ORF1ab	C	all	pc	49	3
3085	3099	0	4	dep_ex	3085	266	21555	ORF1ab	C	all	pc	50	3
